User ID,Average Weekly Post Count,Average Weekly Online Days,Usage Trend,Most Frequent Post Time,Morning Posts,Afternoon Posts,Evening Posts,Pictures Posted,Emojis Used,Publish Tool,Preference
2339140841,0.09,1.00,no change,evening,0,1,1,0,0,会员特权专用: 1,none
1847181087,1.92,2.00,decrease,evening,10,16,24,21,24,None,"emoji, pictures"
1353112775,1.62,1.50,increase,morning,19,15,8,13,13,iPhone 14: 12,"emoji, pictures"
6796293552,1.22,2.00,increase,morning,11,11,0,0,4,None,"emoji, pictures"
1890598024,0.23,1.00,increase,morning,3,0,0,0,1,iPhone客户端: 3,"emoji, pictures"
1632234453,0.92,1.50,decrease,afternoon,7,11,6,7,7,None,"emoji, pictures"
2307519535,0.42,1.00,decrease,evening,3,3,5,4,4,None,"emoji, pictures"
5067742811,42.12,4.50,increase,evening,268,356,471,40,58,HUAWEI Mate 20: 158,emoji
2102381937,1.00,1.50,increase,afternoon,4,17,5,20,26,None,emoji
1298062167,1.91,2.50,increase,morning,17,10,15,10,10,台历风烧饼V+: 40,"emoji, pictures"
1303910221,2.42,2.00,decrease,afternoon,9,28,26,56,57,"iPad air: 9, iPhone 14 Pro Max: 43, iPhone客户端: 4","emoji, pictures"
2280785804,2.23,2.00,increase,evening,16,19,23,17,22,iPhone 15 Pro Max: 1,"emoji, pictures"
6405076879,70.23,6.00,increase,evening,411,479,655,424,439,"vivo S18: 1, 几滴云: 958, iPhone 13: 2, iPhone客户端: 1",emoji
6011462873,12.31,5.50,decrease,morning,174,78,68,66,71,"HUAWEI Mate 60 Pro: 3, HUAWEI Mate 50: 2","emoji, pictures"
2335452247,40.41,6.00,increase,morning,325,280,284,118,174,None,emoji
2079951987,0.08,1.00,no change,evening,0,0,1,0,0,None,none
5512188486,39.23,6.00,increase,afternoon,167,518,335,359,407,"iPhone 11: 7, iPhone 12 Pro: 12, iPhone 13: 35, iPhone 15: 7, iPhone 15 Pro Max: 38, iPhone 13 Pro: 11, iPhone 14: 56, 台网互动: 1, 台网活动: 1, iPhone 14 Pro: 7, iPhone 12 Pro Max: 25, HUAWEI Mate X2: 7, 点评: 1, iPhone 12: 1",emoji
3922419494,0.11,1.00,no change,evening,0,0,1,0,0,会员特权专用: 1,none
6983642457,18.38,6.50,increase,evening,168,89,221,92,99,三星android智能手机: 315,emoji
3891161303,0.35,1.50,increase,afternoon,3,6,0,2,2,HUAWEI P20: 3,"emoji, pictures"
1735701913,1.08,1.50,decrease,evening,0,12,16,21,22,iPhone 14 Pro Max: 28,"emoji, pictures"
1556885600,9.62,4.50,decrease,afternoon,75,96,79,210,210,None,"emoji, pictures"
1322847342,50.73,5.00,increase,evening,213,490,616,152,153,None,"emoji, pictures"
5227617391,14.42,6.00,increase,evening,59,83,233,57,58,"iPhone 12: 207, 体育博主动态: 1","emoji, pictures"
2740928150,3.77,3.00,decrease,evening,17,40,41,43,47,华为Pocket 2: 1,"emoji, pictures"
5463794433,12.15,7.00,increase,morning,197,32,87,2,6,None,"emoji, pictures"
5574029246,0.31,1.00,increase,afternoon,0,7,1,1,3,iPhone 15 Pro: 2,"emoji, pictures"
5187664653,2.82,2.50,increase,afternoon,17,27,18,9,11,会员特权专用: 1,"emoji, pictures"
5654953710,0.06,1.00,no change,morning,1,0,0,1,1,iPhone 15 Plus: 1,"emoji, pictures"
5982459356,0.31,1.50,decrease,afternoon,1,2,1,2,2,None,"emoji, pictures"
7754962620,6.56,3.00,decrease,evening,14,7,38,20,38,"OPPO Reno: 17, 荣耀20: 15, 台网互动: 4",emoji
1914606753,0.27,1.00,increase,evening,2,1,3,3,3,"台网话题: 1, iPhone客户端: 5","emoji, pictures"
2815663917,54.62,6.00,increase,afternoon,567,749,104,67,82,"荣耀V40轻奢版: 54, vivo X60 蔡司影像: 3",emoji
5324616226,1.45,2.00,decrease,morning,20,12,0,22,23,None,"emoji, pictures"
2772709181,0.11,1.00,no change,evening,0,0,1,0,0,iPhone客户端: 1,none
7268288406,0.42,1.00,decrease,afternoon,3,6,2,0,1,vivo X Flip: 11,"emoji, pictures"
7500619042,8.12,4.50,increase,evening,46,55,110,30,34,iPhone 14: 189,"emoji, pictures"
1197191492,2.00,2.00,no change,afternoon,12,24,8,17,18,HUAWEI Pura 70 Ultra: 1,"emoji, pictures"
2269762432,32.31,5.50,increase,evening,92,189,559,300,332,"✨💫🪐iPhone 15: 807, 点评: 3",emoji
1591943401,0.38,1.00,decrease,afternoon,2,4,4,5,5,iPhone客户端: 10,"emoji, pictures"
1686709997,14.08,6.50,increase,morning,127,125,114,79,88,iPhone 14 Pro: 352,emoji
3669102477,2.19,2.50,decrease,afternoon,5,30,22,38,39,iPhone客户端: 56,"emoji, pictures"
6485999796,18.12,6.50,decrease,afternoon,135,176,160,130,246,"iPhone 15 Pro: 9, 仅供参考iPhone: 7, 仅供参考iPhone客户端: 376, Redmi K50 至尊版: 35",emoji
7475592673,0.05,1.00,no change,evening,0,0,1,0,0,None,none
1893769523,31.23,6.00,decrease,evening,127,261,424,357,512,iPhone 12 Pro Max: 419,emoji
3193110967,2.22,3.00,no change,evening,0,0,20,0,0,None,none
3285185471,1.77,2.00,increase,afternoon,16,21,9,24,38,iPhone 15 Pro: 25,emoji
2143324323,9.32,5.50,increase,evening,68,60,77,37,40,None,"emoji, pictures"
6016661895,11.15,6.50,decrease,evening,116,30,144,37,38,None,"emoji, pictures"
5706539488,3.91,3.50,increase,afternoon,25,38,23,80,81,None,"emoji, pictures"
